PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Laws, ND; Anderson, K; DiOrio, NA; Li, XK; McLaren, J				Laws, Nicholas D.; Anderson, Kate; DiOrio, Nicholas A.; Li, Xiangkun; McLaren, Joyce			Impacts of valuing resilience on cost-optimal PV and storage systems for commercial buildings	RENEWABLE ENERGY			English	Article						Resilience; Renewable energy; Energy storage; Microgrid; Value of lost load	STRATEGY; ENERGY	Decreasing electric grid reliability in the US, along with increasing severe weather events, have greatly increased interest in resilient energy systems. Few studies have included the value of resilience when sizing PV and Battery Energy Storage Systems (BESS), and none have included the cost to island a PV and BESS, grid-connected costs and benefits, and the value of resilience. This work presents a novel method for incorporating the value of resilience provided by a PV and BESS into a techno-economic optimization model. Including the value of resilience in the design of a cost-optimal PV and BESS generally increases the system capacities, and in some cases makes a system economical where it was not before. For example, for a large hotel in Anaheim, CA no system is economical without resilience valued; however, with a $5317/hr value of resilience a 363 kW and 60 kWh solar and BESS provides a net present value of $50,000. Lastly, we discuss the effect of the "islandable premium", which must be balanced against the benefits from serving critical loads during outages. Case studies show that the islandable premium can vary widely, which highlights the necessity for case-by-case solutions in a rapidly developing market. (C) 2018 Elsevier Ltd. All rights reserved.	[Laws, Nicholas D.; Anderson, Kate; DiOrio, Nicholas A.; Li, Xiangkun; McLaren, Joyce] Natl Renewable Energy Lab, 15013 Denver West Pkwy, Golden, CO 80401 USA	Laws, ND (reprint author), Natl Renewable Energy Lab, 15013 Denver West Pkwy, Golden, CO 80401 USA.	nick.laws@nrel.gov		DiOrio, Nicholas/0000-0003-0178-3564	U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-AC36-08GO28308]; Alliance for Sustainable Energy, LLC; National Renewable Energy LaboratoryUnited States Department of Energy (DOE); U.S. Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technologies OfficeUnited States Department of Energy (DOE)	This work was supported by the U.S. Department of Energy under Contract No. DE-AC36-08GO28308 with Alliance for Sustainable Energy, LLC, the Manager and Operator of the National Renewable Energy Laboratory. Funding provided by U.S. Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technologies Office.		22	5	5	1	26	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-1481			RENEW ENERG	Renew. Energy	NOV	2018	127						896	909		10.1016/j.renene.2018.05.011			14	Green & Sustainable Science & Technology; Energy & Fuels	Science & Technology - Other Topics; Energy & Fuels	GL3XH	WOS:000437077300081					2020-03-10	
J	Dall'Agnese, C; Dall'Agnese, Y; Anasori, B; Sugimoto, W; Mori, S				Dall'Agnese, Chunxiang; Dall'Agnese, Yohan; Anasori, Babak; Sugimoto, Wataru; Mori, Shogo			Oxidized Ti3C2 MXene nanosheets for dye-sensitized solar cells	NEW JOURNAL OF CHEMISTRY			English	Article							2-DIMENSIONAL TITANIUM CARBIDE; HIGH VOLUMETRIC CAPACITANCE; TRANSITION-METAL CARBIDES; ION BATTERIES; TIO2 FILMS; PERFORMANCE; EFFICIENCY; INTERCALATION; OXIDATION; ANATASE	Porous TiO2 electrodes were prepared by oxidizing two-dimensional titanium carbide nanosheets (Ti3C2 MXene) and the electrodes were tested in dye-sensitized solar cells. The effects of oxidation temperature and duration time together with various thicknesses on the device performance were investigated. A power conversion efficiency of 2.66% was observed.	[Dall'Agnese, Chunxiang; Dall'Agnese, Yohan; Sugimoto, Wataru; Mori, Shogo] Shinshu Univ, Fac Text Sci & Technol, Div Chem & Mat, Ueda, Nagano 3868567, Japan; [Dall'Agnese, Yohan; Sugimoto, Wataru; Mori, Shogo] Shinshu Univ, Ctr Energy & Environm Sci, 3-15-1 Tokida, Ueda, Nagano 3868567, Japan; [Anasori, Babak] Drexel Univ, AJ Drexel Nanomat Inst, Mat Sci & Engn Dept, 3141 Chestnut St, Philadelphia, PA 19104 USA	Mori, S (reprint author), Shinshu Univ, Fac Text Sci & Technol, Div Chem & Mat, Ueda, Nagano 3868567, Japan.; Mori, S (reprint author), Shinshu Univ, Ctr Energy & Environm Sci, 3-15-1 Tokida, Ueda, Nagano 3868567, Japan.	shogmori@shinshu-u.ac.jp	Dall'Agnese, Chunxiang/K-9946-2019; Sugimoto, Wataru/E-2041-2011; Mori, Shogo/B-3817-2013; Anasori, Babak/O-4828-2015	Dall'Agnese, Chunxiang/0000-0001-8689-7813; Sugimoto, Wataru/0000-0003-3868-042X; Anasori, Babak/0000-0002-1955-253X	JSPS KAKENHIMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of ScienceGrants-in-Aid for Scientific Research (KAKENHI) [JP26288089, JP17H03099]	This work was partially supported by JSPS KAKENHI Grant Number JP26288089, and JP17H03099. The authors gratefully thank Prof. Yury Gogotsi for his helpful comments on the manuscript.		27	13	13	4	62	ROYAL SOC CHEMISTRY	CAMBRIDGE	THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND	1144-0546	1369-9261		NEW J CHEM	New J. Chem.	OCT 21	2018	42	20					16446	16450		10.1039/c8nj03246g			5	Chemistry, Multidisciplinary	Chemistry	GX7SF	WOS:000447975700005					2020-03-10	
J	Yoon, J; Yang, HS; Lee, BS; Yu, WR				Yoon, Jihyun; Yang, Ho-Sung; Lee, Byoung-Sun; Yu, Woong-Ryeol			Recent Progress in Coaxial Electrospinning: New Parameters, Various Structures, and Wide Applications	ADVANCED MATERIALS			English	Article						coaxial electrospinning; core-shell nanofibers; multiple inner structures; needle-less electrospinning; nozzle geometries	CORE-SHELL FIBERS; HOLLOW CARBON NANOFIBERS; SENSITIZED SOLAR-CELLS; LITHIUM-ION BATTERY; CONFINEMENT-INDUCED MORPHOLOGIES; NON-AXISYMMETRICAL INSTABILITY; CELLULOSE-ACETATE NANOFIBERS; DRUG-DELIVERY APPLICATIONS; POLYMER NANOFIBERS; COMPOSITE NANOFIBERS	Electrospinning, a common method for synthesizing 1D nanostructures, has contributed to developments in the electrical, electrochemical, biomedical, and environmental fields. Recently, a coaxial electrospinning process has been used to fabricate new nanostructures with advanced performance, but intricate and delicate process conditions hinder reproducibility and mass production. Herein, recent progress in new emerging parameters for successful coaxial electrospinning, and the various nanostructures and critical application areas resulting from these activities. Relationships between the new parameters and final product characteristics are described, new possibilities for nanostructures achievable via coaxial electrospinning are identified, and new research directions with a view to future applications are suggested.	[Yoon, Jihyun; Yang, Ho-Sung; Yu, Woong-Ryeol] Seoul Natl Univ, Dept Mat Sci & Engn, Seoul 08826, South Korea; [Lee, Byoung-Sun] Univ Calif San Diego, Dept Nanoengn, 9500 Gilman Dr, La Jolla, CA 92093 USA	Yu, WR (reprint author), Seoul Natl Univ, Dept Mat Sci & Engn, Seoul 08826, South Korea.	woongryu@snu.ac.kr	YU, WOONG-RYEOL/S-9887-2019	Lee, Byoung-Sun/0000-0001-8479-3949	National Research Foundation of Korea (NRF) - Ministry of Science, ICT and Future Planning (MSIP) [NRF-2015R1A5A1037627]; NRF - Ministry of Education (MOE) [NRF-2016R1D1A1B03935554]; Technology Innovation Program - Ministry of Trade, Industry and Energy (MOTIE) in Korea [10083615]	This work was supported by a National Research Foundation of Korea (NRF) grant funded by the Ministry of Science, ICT and Future Planning (MSIP) (NRF-2015R1A5A1037627) and a NRF grant funded by the Ministry of Education (MOE) (NRF-2016R1D1A1B03935554). This work was also supported by the Technology Innovation Program (10083615) funded by the Ministry of Trade, Industry and Energy (MOTIE) in Korea.		189	30	30	47	281	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	0935-9648	1521-4095		ADV MATER	Adv. Mater.	OCT 18	2018	30	42			SI				1704765	10.1002/adma.201704765			23	Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter	Chemistry; Science & Technology - Other Topics; Materials Science; Physics	GX0CO	WOS:000447377200014	30152180				2020-03-10	
J	McTigue, JD; Castro, J; Mungas, G; Kramer, N; King, J; Turchi, C; Zhu, GD				McTigue, Joshua D.; Castro, Jose; Mungas, Greg; Kramer, Nick; King, John; Turchi, Craig; Zhu, Guangdong			Hybridizing a geothermal power plant with concentrating solar power and thermal storage to increase power generation and dispatchability	APPLIED ENERGY			English	Article						Concentrating solar power; Thermal energy storage; Geothermal power; Retrofit; Levelized cost of energy; Hybrid power generation	ENERGY STORAGE; LEVELIZED COST; TEMPERATURE; SYSTEM	Geothermal power plants often deploy less than their full power capacity due to declining geothermal resources. Integrating heat from a concentrating solar power (CSP) collector field increases the power output at low cost. This article considers five methods of solar heat addition in a double-flash geothermal plant. The most promising solution converts solar heat into electrical work with an efficiency of 24.3%. The economic feasibility and optimal sizing of the solar field and thermal stores are evaluated. A hybrid plant that increases power generation from 22 to 24 MWe has a Levelized Cost of Electricity (LCOE) of 0.07 +/- 0.01 $/kWh(e). Adding three hours of storage increases the LCOE to 0.08 +/- 0.01 $/kWh(e). Photovoltaic systems are considered to be a low-cost renewable technology, but an equivalent photovoltaic system with battery storage costs 0.15 +/- 0.07 $/kWh(e) due to the high cost and replacement rate of batteries compared to thermal storage. The hybrid plant also has a lower LCOE than a conventional CSP plant. If the dispatchability that thermal storage provides is rewarded with higher electricity prices, calculations indicate storage becomes an attractive investment when discharged power receives 1.75 times the typical price of electricity.	[McTigue, Joshua D.; Turchi, Craig; Zhu, Guangdong] Natl Renewable Energy Lab, 15013 Denver West Pkwy, Golden, CO 80401 USA; [Castro, Jose] Coso Operating Co, Olancha, CA USA; [Mungas, Greg; Kramer, Nick; King, John] Hyperlight Energy Ltd, San Diego, CA USA	Zhu, GD (reprint author), Natl Renewable Energy Lab, 15013 Denver West Pkwy, Golden, CO 80401 USA.	Guangdong.Zhu@nrel.gov		Zhu, Guangdong/0000-0001-9280-285X; McTigue, Joshua/0000-0003-3736-2788	U.S. Department of Energy (DOE)United States Department of Energy (DOE) [DE-AC36-08GO28308]; U.S. Department of Energy Office of Energy Efficiency and Renewable Energy, Geothermal Technologies Office and Solar Energy Technologies Office	This work was authored in part by Alliance for Sustainable Energy, LLC, the manager and operator of the National Renewable Energy Laboratory for the U.S. Department of Energy (DOE) under Contract No. DE-AC36-08GO28308. Funding provided by U.S. Department of Energy Office of Energy Efficiency and Renewable Energy, Geothermal Technologies Office and Solar Energy Technologies Office. The views expressed in the article do not necessarily represent the views of the DOE or the U.S. Government. The U.S. Government retains and the publisher, by accepting the article for publication, acknowledges that the U.S. Government retains a nonexclusive, paid-up, irrevocable, worldwide license to publish or reproduce the published form of this work, or allow others to do so, for U.S. Government purposes.		54	14	15	4	12	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0306-2619	1872-9118		APPL ENERG	Appl. Energy	OCT 15	2018	228						1837	1852		10.1016/j.apenergy.2018.07.064			16	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	HE6CB	WOS:000453489800059					2020-03-10	
J	O'Shaughnessy, E; Cutler, D; Ardani, K; Margolis, R				O'Shaughnessy, Eric; Cutler, Dylan; Ardani, Kristen; Margolis, Robert			Solar plus: A review of the end-user economics of solar PV integration with storage and load control in residential buildings	APPLIED ENERGY			English	Review						Solar; Batteries; Load control; Electric vehicles; Optimization	PHOTOVOLTAIC SELF-CONSUMPTION; ENERGY MANAGEMENT-SYSTEMS; ELECTRIC VEHICLES; BATTERY STORAGE; DEMAND RESPONSE; LEVELIZED COST; ION BATTERIES; HOME; OPTIMIZATION; TECHNOLOGIES	Batteries and load control devices can increase the value of distributed solar photovoltaics (PV) from multiple perspectives-end-user, utility, and social. This review paper summarizes the end-user economics of battery and load control technologies that increase the value of PV by controlling and temporally shifting PV output, an approach referred to as "solar plus." Solar plus can increase on-site PV use. The literature shows that these values justify the incremental costs of solar plus devices for a wide variety of technologies, geographies, and customer load profiles, especially for customers in three rate structure contexts: where PV is sold to the grid at a lower value than the customer's retail rate, in time-of-use rates where peak periods do not coincide with PV output, and in demand charge rates where load peaks do not coincide with PV output. Rate structure and policy reform may be necessary to ensure that increasing solar plus deployment provides both end-user and system-level benefits.	[O'Shaughnessy, Eric; Cutler, Dylan; Ardani, Kristen; Margolis, Robert] Natl Renewable Energy Lab, Washington, DC USA; [O'Shaughnessy, Eric] Univ Wisconsin, Nelson Inst Environm Studies, Madison, WI USA	O'Shaughnessy, E (reprint author), Natl Renewable Energy Lab DC Off, 901 D St NW Suite 930, Washington, DC 20024 USA.	eric.oshaughnessy@nrel.gov			U.S. Department of Energy (DOE)United States Department of Energy (DOE) [DE-AC36-08GO28308]; U.S. Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technologies OfficeUnited States Department of Energy (DOE)	This work was authored by Alliance for Sustainable Energy, LLC, the manager and operator of the National Renewable Energy Laboratory for the U.S. Department of Energy (DOE) under Contract No. DE-AC36-08GO28308. Funding provided by U.S. Department of Energy Office of Energy Efficiency and Renewable Energy Solar Energy Technologies Office. The views expressed in the article do not necessarily represent the views of the DOE or the U.S. Government. The U.S. Government retains and the publisher, by accepting the article for publication, acknowledges that the U.S. Government retains a nonexclusive, paid-up, irrevocable, worldwide license to publish or reproduce the published form of this work, or allow others to do so, for U.S. Government purposes.		100	10	10	3	12	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0306-2619	1872-9118		APPL ENERG	Appl. Energy	OCT 15	2018	228						2165	2175		10.1016/j.apenergy.2018.07.048			11	Energy & Fuels; Engineering, Chemical	Energy & Fuels; Engineering	HE6CB	WOS:000453489800082					2020-03-10	
J	Wang, ZF; Smith, AT; Wang, WX; Sun, LY				Wang, Zhaofeng; Smith, Andrew T.; Wang, Weixing; Sun, Luyi			Versatile Nanostructures from Rice Husk Biomass for Energy Applications	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION			English	Review						carbon; lithium ion batteries; nanostructures; rice husk biomass; silicon	LITHIUM-ION BATTERIES; HIERARCHICAL POROUS CARBON; SENSITIZED SOLAR-CELLS; ACTIVATED CARBON; SILICA NANOPARTICLES; LOW-COST; MESOPOROUS SILICON; SURFACE-AREA; MAGNESIOTHERMIC REDUCTION; COMPREHENSIVE UTILIZATION	Converting biomass into valuable products has great benefits in terms of both economic and environmental considerations, and has attracted considerable attention in recent years. Rice husk biomass was initially utilized to produce bulk materials for conventional applications while a variety of advanced nanostructures (NSs) have been fabricated over the past few years. In addition to their low cost and environmental friendliness, RH-derived NSs (RH-NSs) exhibit versatile properties, which are promising for broad applications in various fields. In this Review, we summarize the latest research on RH-NSs, covering their design, fabrication, properties, and applications in the modern energy field. Based on the unique structure and components of RHs, a series of carbon/silicon-based novel NSs with outstanding performances have been exploited, which are difficult to be synthesized using conventional chemical reagents. We also discuss perspective uses of RH-NSs on the basis of the current research progress.	[Wang, Zhaofeng; Smith, Andrew T.; Sun, Luyi] Univ Connecticut, Inst Mat Sci, Polymer Program, Storrs, CT 06269 USA; [Wang, Zhaofeng; Smith, Andrew T.; Sun, Luyi] Univ Connecticut, Dept Chem & Biomol Engn, Storrs, CT 06269 USA; [Wang, Zhaofeng] Chinese Acad Sci, State Key Lab Solid Lubricat, Lanzhou Inst Chem Phys, Lanzhou 730000, Gansu, Peoples R China; [Wang, Weixing] South China Univ Technol, Sch Chem & Chem Engn, China Key Lab Enhanced Heat Transfer & Energy Con, Minist Educ, Guangzhou 510640, Guangdong, Peoples R China; [Sun, Luyi] Univ Connecticut, Dept Biomed Engn, Storrs, CT 06269 USA	Sun, LY (reprint author), Univ Connecticut, Inst Mat Sci, Polymer Program, Storrs, CT 06269 USA.; Sun, LY (reprint author), Univ Connecticut, Dept Chem & Biomol Engn, Storrs, CT 06269 USA.; Wang, WX (reprint author), South China Univ Technol, Sch Chem & Chem Engn, China Key Lab Enhanced Heat Transfer & Energy Con, Minist Educ, Guangzhou 510640, Guangdong, Peoples R China.; Sun, LY (reprint author), Univ Connecticut, Dept Biomed Engn, Storrs, CT 06269 USA.	cewxwang@scut.edu.cn; luyi.sun@uconn.edu			U.S. Environmental Protection AgencyUnited States Environmental Protection Agency [SU-83529201]; CAS Pioneer Hundred Talents Program [17JR5RA319]; Natural Science Foundation of Gansu Province [17JR5RA319]	This work was sponsored by the U.S. Environmental Protection Agency (SU-83529201). Z.W. acknowledges support from the CAS Pioneer Hundred Talents Program and the Natural Science Foundation of Gansu Province (17JR5RA319). W.W. and L.S. acknowledge the mentoring by Prof. Kecheng Gong and his insights in deriving nanostructures from rice husks.		102	11	11	34	167	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	1433-7851	1521-3773		ANGEW CHEM INT EDIT	Angew. Chem.-Int. Edit.	OCT 15	2018	57	42					13722	13734		10.1002/anie.201802050			13	Chemistry, Multidisciplinary	Chemistry	GW3RX	WOS:000446826200002	29781126				2020-03-10	
J	Agate, S; Joyce, M; Lucia, L; Pal, L				Agate, Sachin; Joyce, Michael; Lucia, Lucian; Pal, Lokendra			Cellulose and nanocellulose-based flexible-hybrid printed electronics and conductive composites - A review	CARBOHYDRATE POLYMERS			English	Review						Cellulose; Nanocellulose; Paper; Flexible-hybrid printed electronics; Conductive composites; Grafting	GLASS-TRANSITION TEMPERATURE; DIELECTRIC-PROPERTIES; POLYELECTROLYTE GELS; THIN-FILMS; PAPER; NANOCRYSTALS; INK; NANOCOMPOSITE; TRANSPARENT; IMPROVEMENT	Flexible-hybrid printed electronics (FHPE) is a rapidly growing discipline that may be described as the precise imprinting of electrically functional traces and components onto a substrate such as paper to create functional electronic devices. The mass production of low-cost devices and components such as environmental sensors, bio-sensors, actuators, lab on chip (LOCs), radio frequency identification (RFID) smart tags, light emitting diodes (LEDs), smart fabrics and labels, wallpaper, solar cells, fuel cells, and batteries are major driving factors for the industry. Using renewable and bio-friendly materials would be advantageous for both manufacturers and consumers with the increased use of (FHPE) electronics in our daily lives. This review article describes recent developments in cellulose and nanocellulose-based materials for FHPE, and the necessary developments required to propagate their use in commercial applications. The aim of these developments is to enable the creation of FHPE devices and components made almost entirely of cellulose materials.	[Agate, Sachin; Joyce, Michael; Lucia, Lucian; Pal, Lokendra] NC State Univ, Dept Forest Biomat, Raleigh, NC 27695 USA; [Lucia, Lucian] Qilu Univ Technol, Key Lab Pulp & Paper Sci & Technol, Jinan 250353, Shandong, Peoples R China	Pal, L (reprint author), NC State Univ, Dept Forest Biomat, Raleigh, NC 27695 USA.	lokendra_pal@ncsu.edu		Lucia, Lucian/0000-0003-0157-2505				82	22	22	36	238	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0144-8617	1879-1344		CARBOHYD POLYM	Carbohydr. Polym.	OCT 15	2018	198						249	260		10.1016/j.carbpol.2018.06.045			12	Chemistry, Applied; Chemistry, Organic; Polymer Science	Chemistry; Polymer Science	GP3WL	WOS:000440785200030	30092997				2020-03-10	
J	Khalaf, AF; Wang, Y				Khalaf, Alireza Fazli; Wang, Yong			Energy-cost-aware flow shop scheduling considering intermittent renewables, energy storage, and real-time electricity pricing	INTERNATIONAL JOURNAL OF ENERGY RESEARCH			English	Article						energy storage; energy-cost-aware manufacturing; real-time pricing; renewable energy; 2-stage stochastic programming	DEMAND-SIDE MANAGEMENT; DATA CENTERS; OPTIMIZATION; GENERATION; SYSTEMS	The industrial sector is one of the major energy consumers that contribute to global climate change. Demand response programs and on-site renewable energy provide great opportunities for the industrial sector to both go green and lower production costs. In this paper, a 2-stage stochastic flow shop scheduling problem is proposed to minimize the total electricity purchase cost. The energy demand of the designed manufacturing system is met by on-site renewables, energy storage, as well as the supply from the power grid. The volatile price, such as day-ahead and real-time pricing, applies to the portion supplied by the power grid. The first stage of the formulated model determines optimal job schedules and minimizes day-ahead purchase commitment cost that considers forecasted renewable generation. The volatility of the real-time electricity price and the variability of renewable generation are considered in the second stage of the model to compensate for errors of the forecasted renewable supply; the model will also minimize the total cost of real-time electricity supplied by the real-time pricing market and maximize the total profit of renewable fed into the grid. Case study results show that cost savings because of on-site renewables are significant. Seasonal cost saving differences are also observed. The cost saving in summer is higher than that in winter with solar and wind supply in the system. Although the battery system also contributes to the cost saving, its effect is not as significant as the renewables.	[Khalaf, Alireza Fazli; Wang, Yong] SUNY Binghamton, Dept Syst Sci & Ind Engn, 4400 Vestal Pkwy E, Binghamton, NY 13902 USA	Wang, Y (reprint author), SUNY Binghamton, Dept Syst Sci & Ind Engn, 4400 Vestal Pkwy E, Binghamton, NY 13902 USA.	yongwang@binghamton.edu						59	1	1	4	29	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0363-907X	1099-114X		INT J ENERG RES	Int. J. Energy Res.	OCT 10	2018	42	12					3928	3942		10.1002/er.4130			15	Energy & Fuels; Nuclear Science & Technology	Energy & Fuels; Nuclear Science & Technology	GS5GA	WOS:000443684300016					2020-03-10	
J	Shahsavari, R; Hwang, SH				Shahsavari, Rouzbeh; Hwang, Sung Hoon			Size- and Shape-Controlled Synthesis of Calcium Silicate Particles Enables Self-Assembly and Enhanced Mechanical and Durability Properties	LANGMUIR			English	Article							C-S-H; GOLD NANOPARTICLE SYNTHESIS; METAL-OXIDE NANOCRYSTALS; SENSITIZED SOLAR-CELLS; LITHIUM-ION BATTERIES; CARBON NANOTUBE; NANOSTRUCTURED MATERIALS; POLYCARBONATE MEMBRANES; GRAPHENE NANORIBBONS; SCREW DISLOCATIONS	Calcium silicate (CS)-based materials are ubiquitous in diverse industries ranging from cementitious materials to bone tissue engineering and drug delivery. As a symbolic example, concrete is the most widely used synthetic material on the planet. This large consumption entails significant negative environmental footprint, which calls for innovative strategies to develop greener concrete with improved properties (to do more with less). Herein, we focus on the physicochemical properties of novel spherical calcium silicate particles with an extremely narrow size distribution and report their promising potential as fundamental building blocks. We demonstrate a scalable size shape-controlled synthesis protocol to yield highly spherical CS submicron particles, leading to favorable aggregation mechanisms and thus self-assembly of the bulk ensemble. This optimized kinetics-controlled synthesis is governed by suitable stoichiometric ratio of calcium over silicon, type and concentration of the surfactant, and molar ratio of the alkaline solution. Our extensive nano/micro/macro-characterization results show that the bulk ensemble exhibits many superior properties, such as improved strength, toughness, ductility, and durability, paving the path for bottom-up science-based engineering of concrete.	[Shahsavari, Rouzbeh] Rice Univ, Dept Civil & Environm Engn, Houston, TX 77005 USA; [Shahsavari, Rouzbeh; Hwang, Sung Hoon] Rice Univ, Dept Mat Sci & NanoEngn, Houston, TX 77005 USA; [Shahsavari, Rouzbeh] Rice Univ, Smalley Curl Inst, Houston, TX 77005 USA; [Shahsavari, Rouzbeh] C Crete Technol LLC, 13000 Murphy Rd,Suite 102, Houston, TX 77477 USA	Shahsavari, R (reprint author), Rice Univ, Dept Civil & Environm Engn, Houston, TX 77005 USA.; Shahsavari, R (reprint author), Rice Univ, Dept Mat Sci & NanoEngn, Houston, TX 77005 USA.; Shahsavari, R (reprint author), Rice Univ, Smalley Curl Inst, Houston, TX 77005 USA.; Shahsavari, R (reprint author), C Crete Technol LLC, 13000 Murphy Rd,Suite 102, Houston, TX 77477 USA.	Rouzbeh@rice.edu			U.S. National Science FoundationNational Science Foundation (NSF) [1346506]	This work was supported by the U.S. National Science Foundation grant number 1346506. RS. thanks the discussions with V. Hejozi at C-Crete Technologies LLC.		131	1	1	9	39	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	0743-7463			LANGMUIR	Langmuir	OCT 9	2018	34	40					12154	12166		10.1021/acs.langmuir.8b00917			13	Chemistry, Multidisciplinary; Chemistry, Physical; Materials Science, Multidisciplinary	Chemistry; Materials Science	GW8OT	WOS:000447239100026	30252480				2020-03-10	
J	Lee, CW; Schleife, A				Lee, Cheng-Wei; Schleife, Andre			Electronic stopping and proton dynamics in InP, GaP, and In0.5Ga0.5P from first principles	EUROPEAN PHYSICAL JOURNAL B			English	Article							VAPOR-PHASE EPITAXY; TANDEM SOLAR-CELLS; LONG-RANGE ORDER; TEMPERATURE-DEPENDENCE; SEMICONDUCTOR ALLOYS; RADIATION-DAMAGE; BAND-GAP; ENERGY; CRYSTALS; SUPERLATTICES	The phosphide-based III-V semiconductors InP, GaP, and In0.5Ga0.5P are promising materials for solar panels in outer space and radioisotope batteries, for which lifetime is a major issue. In order to understand high radiation tolerance of these materials and improve it further, it is necessary to describe the early stages of radiation damage on fast time and short length scales. In particular, the influence of atomic ordering, as observed e.g. in In0.5Ga0.5P, on electronic stopping is unknown. We use real-time time-dependent density functional theory and the adiabatic local density approximation to simulate electronic stopping of protons in InP, GaP, and the CuAu-I ordered phase of In0.5Ga0.5P across a large kinetic energy range. These results are compared to SRIM and we investigate the dependence on the channel of the projectile through the target. We show that stopping can be enhanced or reduced in In0.5Ga0.5P and explain this using the electron-density distribution. By comparing Ehrenfest and Born-Oppenheimer molecular dynamics, we illustrate the intricate dynamics of a proton on a channeling trajectory.	[Lee, Cheng-Wei; Schleife, Andre] Univ Illinois, Dept Mat Sci & Engn, Urbana, IL 61801 USA; [Schleife, Andre] Univ Illinois, Frederick Seitz Mat Res Lab, Urbana, IL 61801 USA; [Schleife, Andre] Univ Illinois, Natl Ctr Supercomp Applicat, Urbana, IL 61801 USA	Schleife, A (reprint author), Univ Illinois, Dept Mat Sci & Engn, Urbana, IL 61801 USA.; Schleife, A (reprint author), Univ Illinois, Frederick Seitz Mat Res Lab, Urbana, IL 61801 USA.; Schleife, A (reprint author), Univ Illinois, Natl Ctr Supercomp Applicat, Urbana, IL 61801 USA.	schleife@illinois.edu		Lee, Cheng-Wei/0000-0002-8317-588X	Government Scholarship; Sandia National Laboratories through the Sandia-UIUC collaboration [1736375]; Innovative and Novel Computational Impact on Theory and Experiment (INCITE) program; DOE Office of Science User FacilityUnited States Department of Energy (DOE) [DE-AC02-06CH11357]	C.-W. L. acknowledges support from the Government Scholarship to Study Abroad from the Taiwan Ministry of Education. Financial support from Sandia National Laboratories through the Sandia-UIUC collaboration is gratefully acknowledged (SNL grant no. 1736375). An award of computer time was provided by the Innovative and Novel Computational Impact on Theory and Experiment (INCITE) program. This research used resources of the Argonne Leadership Computing Facility, which is a DOE Office of Science User Facility supported under Contract DE-AC02-06CH11357.		64	5	5	4	8	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1434-6028	1434-6036		EUR PHYS J B	Eur. Phys. J. B	OCT 3	2018	91	10							222	10.1140/epjb/e2018-90204-8			9	Physics, Condensed Matter	Physics	GV6YE	WOS:000446265500003					2020-03-10	
